record_id,borrower_id,borrower_name,segment,constitution,sector,geography,business_vintage_years,loan_type,sanctioned_limit,outstanding_amount,collateral_available,CGTMSE_flag,cluster_id,anchor_buyer_id,obs_month,current_dpd,max_dpd_last_12m,emi_bounce_count_6m,cheque_return_count_6m,si_ecs_bounce_count_6m,repayment_regularity_score,cc_utilization_avg_3m,cc_utilization_avg_6m,cc_utilization_volatility,drawing_power_decline_pct,overdue_days_trend,SMA_status,gst_turnover_12m,gst_turnover_growth_yoy,gst_filing_delay_count_6m,gstr1_vs_3b_mismatch_pct,itc_to_sales_ratio,nil_return_count_12m,sudden_turnover_spike_flag,gst_registration_age_years,gst_status,buyer_concentration_top2_pct,supplier_concentration_top2_pct,eway_bill_mismatch_flag,avg_monthly_bank_credit_6m,avg_monthly_bank_debit_6m,bank_credit_to_gst_sales_ratio,cash_deposit_ratio,avg_monthly_balance,inward_return_count_6m,outward_return_count_6m,upi_pos_collection_ratio,cashflow_volatility_score,debt_service_coverage_proxy,monthly_surplus_ratio,bureau_score,bureau_enquiry_count_3m,existing_loan_count,total_obligation,unsecured_loan_exposure,bureau_dpd_last_12m,credit_vintage_years,epfo_employee_count,epfo_employee_count_change_6m,salary_payment_regularity_score,cam_remarks,fi_remarks,rcu_remarks,collection_remarks,stock_inspection_remarks,stress_12m,growth_need_12m
REC0000000,B100000,MSME Enterprise 00000,Existing,Proprietorship,Food Processing,Mumbai,16.4,Cash Credit,2305988.0,441105.0,Yes,No,Food Processing-Mumbai,Food Processing-Mumbai-BUYER2,0,0,1,0,2,1,100.0,44.3,47.7,8.65,4.6,-5.6,Standard,7505872.0,6.2,0,0.0,0.54,1,0,15.7,Active,35.3,29.2,0,506371.0,428950.0,0.81,0.143,41067.0,0,1,0.102,20.1,1.23,0.011,735,0,1,997605.0,252883.0,5,10.6,10,-2.5,100.0,repayment track record satisfactory.,unit operational with visible activity.,address verification inconclusive.,EMI realised on due date.,stock audit found no discrepancy.,0,0
REC0000001,B100000,MSME Enterprise 00000,Existing,Proprietorship,Food Processing,Mumbai,16.4,Cash Credit,2305988.0,441105.0,Yes,No,Food Processing-Mumbai,Food Processing-Mumbai-BUYER2,1,0,2,1,0,1,100.0,36.6,47.2,10.86,5.2,-4.6,Standard,5200563.0,3.1,0,3.3,0.632,0,0,16.3,Active,55.6,39.3,0,328429.0,327309.0,0.758,0.111,21888.0,0,0,0.55,20.6,2.01,0.035,777,0,2,698577.0,215025.0,5,11.0,23,6.3,79.2,repayment track record satisfactory.,field investigation found no adverse observation.,no linkage with other defaulting entities found.,cheque returned for insufficient funds; EMI realised on due date.,stock verified and found adequate.,0,0
REC0000002,B100000,MSME Enterprise 00000,Existing,Proprietorship,Food Processing,Mumbai,16.4,Cash Credit,2305988.0,441105.0,Yes,No,Food Processing-Mumbai,Food Processing-Mumbai-BUYER2,2,0,1,0,1,0,100.0,46.0,16.2,3.67,4.9,-4.7,Standard,7212436.0,13.9,0,2.1,0.781,2,0,15.9,Active,27.6,35.0,0,508594.0,509759.0,0.846,0.285,13094.0,0,0,0.369,20.7,1.16,0.084,804,1,1,618008.0,182950.0,3,14.4,16,-4.6,89.7,business running satisfactorily.,unit operational with visible activity.,identity and address cross-verified.,no follow up required this month.,stock not matching book records.,0,0
REC0000003,B100000,MSME Enterprise 00000,Existing,Proprietorship,Food Processing,Mumbai,16.4,Cash Credit,2305988.0,441105.0,Yes,No,Food Processing-Mumbai,Food Processing-Mumbai-BUYER2,3,0,1,0,0,0,100.0,57.1,29.2,10.72,-1.3,-0.6,Standard,3384345.0,5.1,0,10.8,0.435,0,0,15.2,Active,33.3,23.1,0,208748.0,224247.0,0.74,0.178,9539.0,0,0,0.614,24.7,1.77,0.297,780,1,2,570952.0,195690.0,2,11.1,5,1.0,82.1,business running satisfactorily.,unit operational with visible activity.,identity and address cross-verified.,repayment conduct satisfactory.,inventory levels healthy and moving.,0,1
REC0000004,B100000,MSME Enterprise 00000,Existing,Proprietorship,Food Processing,Mumbai,16.4,Cash Credit,2305988.0,441105.0,Yes,No,Food Processing-Mumbai,Food Processing-Mumbai-BUYER2,4,0,0,1,0,0,100.0,60.8,25.8,0.93,7.5,-0.9,Standard,6607146.0,8.8,0,1.3,0.373,2,0,15.9,Active,36.3,11.3,0,442036.0,477721.0,0.803,0.116,21908.0,2,0,0.506,27.1,1.7,-0.052,764,1,1,403505.0,55289.0,0,16.2,45,8.1,100.0,adequate liquidity maintained; buyer base concentrated with top two buyers.,unit operational with visible activity.,documents verified genuine.,borrower proactively regularised dues.,stock statement matches book records.,0,0
REC0000005,B100000,MSME Enterprise 00000,Existing,Proprietorship,Food Processing,Mumbai,16.4,Cash Credit,2305988.0,441105.0,Yes,No,Food Processing-Mumbai,Food Processing-Mumbai-BUYER2,5,0,2,0,1,0,100.0,38.7,39.5,6.67,8.3,-1.3,Standard,5771605.0,-3.3,0,6.1,0.306,0,0,16.2,Active,49.6,33.0,0,453726.0,488375.0,0.943,0.321,23974.0,0,0,0.41,8.9,0.5,0.193,762,1,1,225795.0,101471.0,6,13.5,4,-3.4,79.8,adequate liquidity maintained.,stock levels found adequate; unit operations appear scaled down.,no linkage with other defaulting entities found.,borrower proactively regularised dues.,stock verification could not be completed; stock statement matches book records.,0,0
REC0000006,B100000,MSME Enterprise 00000,Existing,Proprietorship,Food Processing,Mumbai,16.4,Cash Credit,2305988.0,441105.0,Yes,No,Food Processing-Mumbai,Food Processing-Mumbai-BUYER2,6,0,3,0,0,0,93.8,56.3,82.1,4.25,5.4,0.2,Standard,5124546.0,4.2,2,2.2,0.434,2,0,15.8,Active,24.3,40.6,0,474673.0,406631.0,1.112,0.446,44083.0,0,1,0.529,37.9,1.12,0.178,754,2,1,670679.0,111212.0,4,16.0,10,1.9,90.0,business running satisfactorily.,stock levels found adequate.,identity and address cross-verified.,borrower proactively regularised dues.,stock verified and found adequate.,0,1
REC0000007,B100000,MSME Enterprise 00000,Existing,Proprietorship,Food Processing,Mumbai,16.4,Cash Credit,2305988.0,441105.0,Yes,No,Food Processing-Mumbai,Food Processing-Mumbai-BUYER2,7,0,0,1,1,0,100.0,67.1,34.2,6.74,3.8,-0.3,Standard,7217560.0,-7.7,0,0.0,0.69,2,0,15.8,Active,31.6,28.6,0,413644.0,393970.0,0.688,0.282,31646.0,0,1,0.212,19.5,1.51,0.148,718,1,0,654063.0,262287.0,0,15.6,3,7.1,85.8,adequate liquidity maintained.,shop found closed during visit.,documents verified genuine.,no follow up required this month.,stock verified and found adequate.,0,0
REC0000008,B100001,MSME Enterprise 00001,Service,Partnership,Services,Jaipur,3.6,LAP,1666179.0,433904.0,Yes,Yes,Services-Jaipur,Services-Jaipur-BUYER2,0,0,2,1,1,2,90.6,53.2,78.4,10.88,6.1,1.0,Standard,3746724.0,-0.7,1,0.0,0.58,2,0,3.4,Active,37.1,26.6,0,316270.0,338392.0,1.013,0.172,20985.0,1,1,0.459,29.5,0.95,0.008,683,1,2,725728.0,221252.0,2,3.0,4,-12.7,90.5,business running satisfactorily.,unit operations appear scaled down.,documents verified genuine.,repayment conduct satisfactory.,inventory levels healthy and moving.,0,0
REC0000009,B100001,MSME Enterprise 00001,Service,Partnership,Services,Jaipur,3.6,LAP,1666179.0,433904.0,Yes,Yes,Services-Jaipur,Services-Jaipur-BUYER2,1,0,0,0,1,1,100.0,58.1,53.7,4.12,12.2,1.1,Standard,4512006.0,10.0,0,13.2,0.461,0,0,3.1,Active,19.3,36.4,0,337778.0,343225.0,0.898,0.302,500.0,2,1,0.427,24.4,2.08,0.093,715,1,1,370554.0,75251.0,4,3.2,15,-4.0,97.9,repayment track record satisfactory.,technical report indicates property access issue.,no adverse RCU observation.,repayment conduct satisfactory.,stock verified and found adequate.,0,0
REC0000010,B100001,MSME Enterprise 00001,Service,Partnership,Services,Jaipur,3.6,LAP,1666179.0,433904.0,Yes,Yes,Services-Jaipur,Services-Jaipur-BUYER2,2,0,0,0,1,0,100.0,51.9,47.4,9.62,4.5,-5.9,Standard,3468279.0,13.0,1,1.1,0.46,0,0,3.2,Active,39.6,10.3,0,169108.0,148957.0,0.585,0.301,6591.0,0,0,0.41,30.8,1.12,0.292,731,0,2,288943.0,46694.0,1,3.4,6,5.4,93.1,business running satisfactorily.,stock levels found adequate.,identity and address cross-verified.,no follow up required this month.,stock verified and found adequate.,0,0
REC0000011,B100001,MSME Enterprise 00001,Service,Partnership,Services,Jaipur,3.6,LAP,1666179.0,433904.0,Yes,Yes,Services-Jaipur,Services-Jaipur-BUYER2,3,0,4,1,1,0,100.0,40.7,53.5,6.52,7.3,2.5,Standard,4921171.0,29.9,0,1.5,0.51,0,0,3.2,Active,54.8,54.1,0,385128.0,387601.0,0.939,0.151,26597.0,1,0,0.564,20.6,1.54,0.109,764,0,0,210055.0,71831.0,4,3.0,10,1.7,94.8,repayment track record satisfactory.,unit operational with visible activity.,documents verified genuine.,no follow up required this month.,stock verified and found adequate.,0,1
REC0000012,B100001,MSME Enterprise 00001,Service,Partnership,Services,Jaipur,3.6,LAP,1666179.0,433904.0,Yes,Yes,Services-Jaipur,Services-Jaipur-BUYER2,4,0,3,1,0,1,100.0,47.4,57.7,7.53,8.7,-2.4,Standard,3491724.0,-5.5,0,3.0,0.334,0,0,2.9,Active,31.8,39.3,0,268202.0,274450.0,0.922,0.036,17420.0,0,0,0.832,17.7,1.4,0.248,630,0,0,981559.0,210191.0,2,2.2,29,7.7,98.6,repayment track record satisfactory.,unit operational with visible activity.,documents verified genuine; address verification inconclusive.,borrower proactively regularised dues.,stock audit found no discrepancy.,0,1
REC0000013,B100001,MSME Enterprise 00001,Service,Partnership,Services,Jaipur,3.6,LAP,1666179.0,433904.0,Yes,Yes,Services-Jaipur,Services-Jaipur-BUYER2,5,0,1,1,1,0,100.0,40.5,48.8,5.24,5.7,1.3,Standard,5624391.0,7.3,0,4.2,0.498,0,0,2.4,Active,34.8,24.7,0,217182.0,211124.0,0.463,0.222,17156.0,1,0,0.485,24.7,1.43,0.17,709,2,0,435004.0,110349.0,2,3.4,15,10.9,86.9,repayment track record satisfactory.,stock levels found adequate.,no adverse RCU observation.,EMI realised on due date.,stock statement matches book records.,0,0
REC0000014,B100001,MSME Enterprise 00001,Service,Partnership,Services,Jaipur,3.6,LAP,1666179.0,433904.0,Yes,Yes,Services-Jaipur,Services-Jaipur-BUYER2,6,0,2,1,0,0,99.1,24.5,35.2,6.64,4.6,-1.0,Standard,4279492.0,12.6,0,4.8,0.653,0,0,2.5,Active,31.1,28.1,0,360380.0,315312.0,1.011,0.02,42142.0,0,0,0.664,24.3,0.78,0.167,736,0,3,337687.0,46439.0,1,2.7,9,16.3,97.1,promoter diverting funds to group entity suspected.,stock levels found adequate; shop found closed during visit.,documents verified genuine.,no follow up required this month.,stock verified and found adequate.,0,1
